"Module Version","Module Version"
"Composer Version","Composer Version"
"CUSTOM SHIPPING RATE","CUSTOM SHIPPING RATE"
"Enable","Enable"
"Invalid order id.","Invalid order id."
"Invalid Email address.","Invalid Email address."
"Order email address change from %s to %s by %s","Order email address change from %s to %s by %s"
"Email address successfully changed.","Email address successfully changed."
"Automatically update customer record email address","Automatically update customer record email address"
